"","COP","CVX","XOM","XLE","SPY"
"2023-07-20",101.958152770996,137.837936401367,93.5448226928711,37.9521179199219,435.629608154297
"2023-07-21",103.053604125977,139.856140136719,93.9790267944336,38.2882232666016,435.629608154297
"2023-07-24",104.724136352539,142.614669799805,95.4535369873047,38.9059219360352,437.57568359375
"2023-07-25",106.056915283203,143.266860961914,95.598274230957,39.1103019714355,438.770263671875
"2023-07-26",106.65030670166,142.191650390625,95.0645370483398,39.1239318847656,438.837707519531
"2023-07-27",105.691764831543,140.711013793945,95.3630676269531,38.8741226196289,435.928253173828
"2023-07-28",105.828704833984,140.014785766602,94.223274230957,38.9922142028809,440.196136474609
"2023-07-31",107.46272277832,144.236312866211,97.0094299316406,39.7325553894043,441.034271240234
"2023-08-01",107.152374267578,143.037704467773,96.4485778808594,39.5463333129883,439.772216796875
"2023-08-02",105.518333435059,140.772705078125,95.245475769043,39.0285530090332,433.654602050781
"2023-08-03",104.970611572266,140.719833374023,96.9008941650391,39.4237022399902,432.411804199219
"2023-08-04",103.802154541016,140.402557373047,97.1722717285156,39.478199005127,430.456146240234
"2023-08-07",104.505058288574,140.913726806641,96.9732666015625,39.5236206054688,434.213348388672
"2023-08-08",105.518333435059,140.702209472656,97.4526901245117,39.718921661377,432.325164794922
"2023-08-09",106.294273376465,140.887298583984,99.1081237792969,40.2185401916504,429.434906005859
"2023-08-10",105.737426757812,141.742156982422,99.6147003173828,40.2139930725098,429.589080810547
"2023-08-11",107.544898986816,144.668121337891,101.161567687988,40.8316955566406,429.338531494141
"2023-08-14",107.435348510742,144.562408447266,101.242980957031,40.6590957641602,431.708557128906
"2023-08-15",105.904243469238,140.340896606445,98.6437301635742,39.8143005371094,426.679595947266
"2023-08-16",105.106575012207,139.803298950195,96.9838638305664,39.4691200256348,423.548553466797
"2023-08-17",107.022773742676,142.143402099609,98.8626174926758,39.9414749145508,420.321197509766
"2023-08-18",107.53621673584,143.166641235352,100.35831451416,40.3366203308105,420.523468017578
"2023-08-21",107.462852478027,142.686187744141,99.1453323364258,40.0822715759277,423.259552001953
"2023-08-22",106.491012573242,141.511672973633,98.588996887207,39.7734298706055,422.113098144531
"2023-08-23",106.179298400879,141.698501586914,97.7225952148438,39.6735038757324,426.814514160156
"2023-08-24",105.253265380859,140.532897949219,96.9929733276367,39.400993347168,420.899261474609
"2023-08-25",106.830238342285,141.58283996582,98.7258148193359,39.7825126647949,423.866485595703
"2023-08-28",107.747077941895,142.552734375,99.5557479858398,40.0504760742188,426.554382324219
"2023-08-29",107.875442504883,142.330276489258,100.148551940918,40.1594848632812,432.720153808594
